feature,importance,rf_activity_norm
dst_port,0.048274072314983124,1.0
fwd_mode_header_bytes,0.04180086851516255,0.8659072357189256
src_port,0.036908983694508325,0.7645715789975451
fwd_packets_IAT_max,0.03623733603402747,0.7506583616476926
fwd_min_header_bytes,0.03359322074342585,0.6958853714315565
packet_IAT_max,0.031046433869437,0.6431285445914395
fwd_packets_IAT_total,0.03040289483808483,0.6297975990032334
mean_header_bytes,0.02964380557483198,0.6140730241569292
mode_header_bytes,0.027974816028979766,0.5794998161010139
fwd_mean_header_bytes,0.027691986737557846,0.5736409921431657
max_header_bytes,0.0276815646358274,0.5734250977462223
min_header_bytes,0.02725566927523425,0.5646026524838
median_header_bytes,0.027136093575028795,0.5621256354336279
fwd_median_header_bytes,0.026116839957245504,0.5410117420141383
packet_IAT_total,0.024778015540981593,0.513277922345306
fwd_packets_IAT_mean,0.024579635250218265,0.5091684639704476
fwd_packets_IAT_median,0.023662766874593007,0.49017548633966496
fwd_packets_IAT_mode,0.022946076005152412,0.4753291964976921
packets_IAT_mean,0.022501114150732315,0.4661117877919014
packet_IAT_min,0.021824665636418397,0.45209912049712325
fwd_packets_IAT_min,0.021038381651533596,0.43581120553203845
packets_IAT_mode,0.020711683651991122,0.42904363893001646
packets_IAT_median,0.02002443902234433,0.41480732952643856
fwd_init_win_bytes,0.01728962773449176,0.35815556685747996
fwd_max_header_bytes,0.016548056655515255,0.34279388213906975
fwd_ack_flag_percentage_in_fwd_packets,0.012178583235370794,0.2522800056292506
fwd_total_header_bytes,0.011946552013936608,0.24747346641871526
fwd_ack_flag_counts,0.010413818603814375,0.21572281153049053
bwd_packets_IAT_total,0.009647638360899649,0.1998513466597524
duration,0.00932623956405798,0.19319355332620936
rst_flag_percentage_in_total,0.008810395699451704,0.1825078199735216
fwd_ack_flag_percentage_in_total,0.008759737714454173,0.18145843709430245
syn_flag_percentage_in_total,0.008659648722259864,0.17938508824688723
packets_rate,0.008621601278188302,0.1785969334000513
bwd_packets_IAT_max,0.0077578273185031086,0.1607038094462825
bwd_packets_IAT_min,0.007695317581353198,0.15940891688486689
median_packets_delta_time,0.007533011998008202,0.15604674801114995
fwd_syn_flag_percentage_in_total,0.007521594476884584,0.15581023344802963
mode_packets_delta_time,0.007445783788714234,0.15423981097205341
fwd_packets_rate,0.007180886409708569,0.1487524475427318
mean_packets_delta_time,0.007160761152492765,0.14833555175891458
bwd_init_win_bytes,0.007146511254128852,0.1480403643491818
bwd_packets_rate,0.0068277275705885924,0.14143674322809158
median_bwd_packets_delta_time,0.006647296895938171,0.13769911211478647
max_bwd_packets_delta_time,0.006104410363490997,0.12645318844576395
ack_flag_percentage_in_total,0.005963652911007332,0.12353739025983014
mean_bwd_packets_delta_time,0.0058739981325145385,0.12168018670948938
min_bwd_packets_delta_time,0.00584073852320502,0.12099121211682391
median_fwd_packets_delta_time,0.005712028677794419,0.11832498075828463
rst_flag_counts,0.005466841132358235,0.11324590758964118
bwd_packets_IAT_mode,0.0053440541016134095,0.11070236765491902
bwd_packets_IAT_mean,0.005305724049367421,0.10990835856457568
bwd_packets_IAT_median,0.0051481159771619945,0.1066434988863399
fwd_syn_flag_counts,0.00488249548135736,0.1011411560537011
mode_bwd_packets_delta_time,0.00465226573065482,0.09637193440609872
fwd_syn_flag_percentage_in_fwd_packets,0.004333217751893277,0.08976283839530873
handshake_state,0.004248627166383035,0.08801053987451485
syn_flag_counts,0.0038036346262021103,0.07879249551154094
min_packets_delta_len,0.0033559732368800303,0.06951916579530863
bwd_ack_flag_percentage_in_bwd_packets,0.003273612269284518,0.06781305392933396
max_bwd_packets_delta_len,0.00305462591640126,0.06327673987125335
median_packets_delta_len,0.003000453609899478,0.062154557633378044
median_bwd_packets_delta_len,0.002687857220616702,0.05567910664504795
max_packets_delta_len,0.0026556101333703925,0.05501110650128753
bwd_rst_flag_percentage_in_bwd_packets,0.002586601907543023,0.053581597397992946
total_header_bytes,0.0024258537343378344,0.05025169035894465
bwd_ack_flag_percentage_in_total,0.002364567190530337,0.04898213631329444
ack_flag_counts,0.0023580514091954964,0.048847161553089304
bwd_rst_flag_percentage_in_total,0.002044324599850716,0.042348293852478784
mean_packets_delta_len,0.0019679764188635035,0.0407667371839415
fwd_rst_flag_percentage_in_fwd_packets,0.00195609715003089,0.04052065749223655
mode_packets_delta_len,0.0018980655364102936,0.039318529500176
fwd_rst_flag_counts,0.001879316691678886,0.03893014617487721
fwd_rst_flag_percentage_in_total,0.001655890980416953,0.03430187056961846
bwd_ack_flag_counts,0.0016077154553229102,0.03330391198059157
bwd_median_header_bytes,0.0015286546383598018,0.031666162912163176
mean_header_bytes_delta_len,0.0015203007885115248,0.0314931124640102
bwd_total_header_bytes,0.0013957113900129204,0.028912236384493396
std_packets_delta_time,0.0013881567002945775,0.028755740581341564
packets_count,0.001386097378260756,0.02871308161483912
packets_IAT_cov,0.0013591621607992863,0.02815511713888357
mode_header_bytes_delta_len,0.0012954398803198593,0.02683510667729156
bwd_max_header_bytes,0.0012266406487815872,0.025409926901917224
std_header_bytes,0.0010669567373652097,0.0221020661029679
bwd_min_header_bytes,0.0010435764091789737,0.021617741349222622
mean_bwd_packets_delta_len,0.0009451020593431659,0.019577839904959263
cov_header_bytes,0.0009073337095924664,0.018795466511965505
median_header_bytes_delta_len,0.0009070300273791769,0.01878917571861151
bwd_rst_flag_counts,0.0008850042023790214,0.018332909571093656
variance_header_bytes,0.0008740071244047896,0.01810510451038784
bwd_packets_count,0.0008089607734430347,0.016757665857660666
variance_packets_delta_time,0.0007876556450385128,0.016316328978817955
packet_IAT_std,0.0007523001388789598,0.015583937770368374
cov_packets_delta_time,0.0007473787774474535,0.015481991504070496
min_header_bytes_delta_len,0.0007443011924000455,0.015418239164567686
max_fwd_packets_delta_time,0.0006665685488261704,0.0138080032792113
fwd_packets_count,0.0006414977220419077,0.013288659756239418
mode_bwd_packets_delta_len,0.0006261118539649237,0.012969940672906384
min_bwd_packets_delta_len,0.0005725242995947679,0.011859871606835
min_fwd_packets_delta_time,0.0005150299306440661,0.010668872666957768
mean_fwd_packets_delta_time,0.0005026130956384859,0.0104116572631161
max_header_bytes_delta_len,0.00045125172161671875,0.009347703642492596
bwd_mean_header_bytes,0.0004426083560799623,0.00916865586130771
mode_fwd_packets_delta_time,0.00042821124457355234,0.00887041892342374
packets_IAT_variance,0.00042794106344918757,0.008864822106925602
bwd_syn_flag_percentage_in_total,0.0004023095222853336,0.008333863355473871
fwd_packets_IAT_std,0.00037319280704897843,0.007730709035979719
fin_flag_percentage_in_total,0.00035910560046753694,0.0074388917952562935
variance_fwd_packets_delta_time,0.000341266075082799,0.007069345069048134
fwd_packets_IAT_cov,0.00030949270337792093,0.006411157968163828
cov_fwd_packets_delta_time,0.000284220682063358,0.005887646689693976
bwd_mode_header_bytes,0.00026856405635573854,0.005563318847504453
std_fwd_packets_delta_time,0.00025827989031018255,0.005350281795679761
packets_IAT_skewness,0.000249812035481648,0.005174869728239444
fwd_fin_flag_percentage_in_total,0.00023435479823387943,0.00485467222870156
skewness_packets_delta_time,0.00020515587281825045,0.004249814920929613
down_up_rate,0.00019373616734122482,0.004013255108811148
fwd_packets_IAT_variance,0.0001906572738780257,0.003949475665404972
subflow_fwd_packets,0.00016584944090492697,0.0034355800733523625
bwd_syn_flag_percentage_in_bwd_packets,0.00016195027016824954,0.0033548085421826745
bwd_fin_flag_percentage_in_bwd_packets,0.0001540476424733564,0.0031911051851646597
variance_bwd_packets_delta_time,0.00014758414501820402,0.003057213488334553
fin_flag_counts,0.00014560140687203265,0.0030161409611768226
bwd_syn_flag_counts,0.0001455106720374512,0.0030142613842066134
fwd_fin_flag_percentage_in_fwd_packets,0.00013450350809115393,0.0027862473920479097
bwd_packets_IAT_cov,0.000124618276170488,0.0025814742820404126
variance_packets_delta_len,0.0001159191680744346,0.0024012717907466873
skewness_header_bytes,0.00010623202605538738,0.0022006021236873254
fwd_ece_flag_percentage_in_fwd_packets,0.00010272529801034248,0.0021279600639463555
cov_packets_delta_len,0.00010271342419288242,0.0021277140971801257
std_packets_delta_len,0.00010230387710386011,0.0021192303072410865
cwr_flag_counts,9.852670766256316e-05,0.0020409860394558594
cwr_flag_percentage_in_total,9.741385613901218e-05,0.00201793326039281
cov_bwd_packets_delta_time,9.712207830571195e-05,0.0020118890669094756
bwd_packets_IAT_variance,9.67948349641681e-05,0.002005110203518614
bwd_fin_flag_counts,9.533867844404715e-05,0.001974945843018433
fwd_packets_IAT_skewness,9.372257915826007e-05,0.0019414682595396205
fwd_avg_segment_size,8.97993980764579e-05,0.0018601993527814786
std_bwd_packets_delta_len,8.864795709484546e-05,0.0018363471910226897
mean_bwd_header_bytes_delta_len,8.4076335881271e-05,0.0017416458121179825
fwd_payload_bytes_max,8.343108185464731e-05,0.001728279340310643
fwd_cwr_flag_counts,8.26257099267984e-05,0.0017115960175821615
bwd_payload_bytes_std,8.179634847999693e-05,0.0016944157506805014
variance_header_bytes_delta_len,7.930574719249871e-05,0.001642822811281328
skewness_fwd_packets_delta_time,7.894233499035547e-05,0.0016352947080011241
subflow_bwd_packets,7.698426613455868e-05,0.0015947332065180794
bwd_packets_IAT_std,7.592380263941038e-05,0.0015727656482762784
fwd_payload_bytes_median,7.442847413413422e-05,0.0015417898380003334
bwd_payload_bytes_mean,7.359812174975982e-05,0.0015245890437736432
std_header_bytes_delta_len,7.345257498308334e-05,0.001521574034687051
fwd_payload_bytes_std,6.943604863743808e-05,0.0014383714757763822
ece_flag_percentage_in_total,6.87962806551757e-05,0.0014251186476725514
fwd_ece_flag_percentage_in_total,6.835243674721616e-05,0.0014159243972877173
mode_fwd_packets_delta_len,6.675453838075922e-05,0.0013828238468300965
skewness_packets_delta_len,6.671334778588055e-05,0.001381970581445525
bwd_payload_bytes_max,6.594666187147109e-05,0.0013660886415626224
std_bwd_packets_delta_time,6.529366804729158e-05,0.0013525618394333388
avg_segment_size,6.226757677791614e-05,0.0012898761963073449
payload_bytes_max,6.219099416592325e-05,0.0012882897833879376
fwd_fin_flag_counts,6.141602579404905e-05,0.0012722362719539402
ece_flag_counts,6.125706513825875e-05,0.001268943393434119
fwd_cwr_flag_percentage_in_fwd_packets,6.12511325578924e-05,0.0012688204997132902
payload_bytes_mean,5.916081408830319e-05,0.0012255194403796152
payload_bytes_std,5.851108872429931e-05,0.0012120603445783642
bwd_cov_header_bytes,5.838122986322774e-05,0.0012093703112987133
total_payload_bytes,5.695444089009544e-05,0.0011798143011112433
cov_header_bytes_delta_len,5.608466219080679e-05,0.0011617967886541746
bwd_fin_flag_percentage_in_total,5.39561595377455e-05,0.0011177047419096398
fwd_payload_bytes_mean,5.3753053679114605e-05,0.0011134973931426733
fwd_bytes_rate,5.300838290030605e-05,0.001098071497975809
fwd_cwr_flag_percentage_in_total,5.174907968608943e-05,0.0010719849642771436
max_payload_bytes_delta_len,5.140607512503865e-05,0.0010648796063779237
bytes_rate,5.002470147742989e-05,0.0010362643770971734
fwd_total_payload_bytes,4.8974455381550105e-05,0.0010145084728298258
min_fwd_packets_delta_len,4.8297980487139405e-05,0.0010004952590699264
std_fwd_packets_delta_len,4.603614177376724e-05,0.0009536411486767963
median_bwd_header_bytes_delta_len,4.501889261085951e-05,0.0009325687776476797
bwd_packets_IAT_skewness,4.4892519905644425e-05,0.0009299509602737794
skewness_bwd_packets_delta_time,4.480263601973445e-05,0.0009280890107509902
mean_fwd_packets_delta_len,4.4575190414538e-05,0.0009233774628270364
fwd_ece_flag_counts,4.428000473692538e-05,0.0009172626756657925
payload_bytes_variance,4.253019635594716e-05,0.0008810153011008106
skewness_header_bytes_delta_len,4.2054122113787467e-05,0.0008711533976124668
mean_payload_bytes_delta_len,3.9716168510132935e-05,0.0008227225631802764
std_payload_bytes_delta_len,3.921083080430918e-05,0.0008122544654708791
fwd_payload_bytes_variance,3.910998687287979e-05,0.0008101654780166739
payload_bytes_median,3.785770956063106e-05,0.0007842244862545175
psh_flag_counts,3.784714511662012e-05,0.0007840056432295907
bwd_std_header_bytes,3.78353301579027e-05,0.0007837608957253749
bwd_bytes_rate,3.7007198551767265e-05,0.0007666061050391456
max_bwd_header_bytes_delta_len,3.672283147104592e-05,0.0007607154256933909
psh_flag_percentage_in_total,3.6717431606260234e-05,0.0007606035672044186
mode_bwd_header_bytes_delta_len,3.5227497223066025e-05,0.0007297394964570298
skewness_payload_bytes_delta_len,3.390350675134315e-05,0.0007023129627458487
mean_fwd_payload_bytes_delta_len,3.378333540675252e-05,0.0006998236068902556
max_fwd_packets_delta_len,3.292701510544602e-05,0.000682084885870013
variance_payload_bytes_delta_len,3.24406333988409e-05,0.0006720094627022402
bwd_variance_header_bytes,3.2062410624056925e-05,0.0006641745576145544
variance_bwd_packets_delta_len,3.201838856557163e-05,0.0006632626383093411
variance_fwd_packets_delta_len,3.0809595252770735e-05,0.0006382224199305466
fwd_psh_flag_percentage_in_fwd_packets,3.0565942189542466e-05,0.0006331751336432316
payload_bytes_skewness,3.0386775306237088e-05,0.0006294636820354963
fwd_payload_bytes_mode,3.031922624215693e-05,0.0006280643995461423
min_fwd_payload_bytes_delta_len,3.006712222412001e-05,0.0006228420512762063
min_payload_bytes_delta_len,2.9570993497626726e-05,0.0006125647180681003
cov_fwd_payload_bytes_delta_len,2.8900961867244563e-05,0.0005986849768685123
variance_bwd_header_bytes_delta_len,2.7874199071247636e-05,0.0005774155304191345
mean_bwd_payload_bytes_delta_len,2.7316238396986963e-05,0.0005658573450930646
cov_bwd_packets_delta_len,2.7153906239063263e-05,0.000562494625725523
median_fwd_packets_delta_len,2.7153298010298556e-05,0.0005624820262340042
cov_fwd_packets_delta_len,2.6844948560276295e-05,0.000556094550820488
median_payload_bytes_delta_len,2.6458239409415276e-05,0.0005480838499967045
skewness_fwd_packets_delta_len,2.60772988598222e-05,0.0005401926460579218
fwd_payload_bytes_cov,2.6034010523726742e-05,0.0005392959258514099
payload_bytes_cov,2.5590483763837654e-05,0.0005301082452058841
delta_start,2.5134706354678704e-05,0.000520666791702955
min_bwd_header_bytes_delta_len,2.5002727705784814e-05,0.0005179328469047464
cov_bwd_header_bytes_delta_len,2.3867806778938083e-05,0.000494422898967446
min_fwd_header_bytes_delta_len,2.145267098147002e-05,0.0004443932312462402
mode_payload_bytes_delta_len,2.1401987553414516e-05,0.00044334332131270904
fwd_variance_header_bytes,2.1383158332100284e-05,0.0004429532729821814
bwd_total_payload_bytes,2.125542474550852e-05,0.00044030726487749285
variance_fwd_payload_bytes_delta_len,2.0346576931793268e-05,0.00042148043361732657
max_fwd_payload_bytes_delta_len,2.0191577188479405e-05,0.0004182696056121294
handshake_duration,1.997615665895189e-05,0.0004138071577763239
bwd_ece_flag_counts,1.9488120049348877e-05,0.0004036974532040925
fwd_psh_flag_percentage_in_total,1.9149267224861335e-05,0.0003966780987507005
mode_fwd_payload_bytes_delta_len,1.8512534076496832e-05,0.0003834881373940143
skewness_bwd_packets_delta_len,1.7579147301075836e-05,0.0003641529802245353
std_bwd_header_bytes_delta_len,1.7529552227598045e-05,0.0003631256156145188
fwd_psh_flag_counts,1.737008460744074e-05,0.0003598222353006146
bwd_payload_bytes_variance,1.7079489177521376e-05,0.00035380253536680206
median_bwd_payload_bytes_delta_len,1.6339218387376532e-05,0.0003384677862013565
variance_fwd_header_bytes_delta_len,1.6335402269579537e-05,0.00033838873511629175
skewness_fwd_payload_bytes_delta_len,1.612103856429889e-05,0.00033394817945150453
mean_fwd_header_bytes_delta_len,1.580570250907045e-05,0.0003274159761360082
payload_bytes_min,1.5478481884152424e-05,0.00032063758332127017
fwd_std_header_bytes,1.520578427868668e-05,0.000314988637782008
median_fwd_header_bytes_delta_len,1.4824954663006087e-05,0.0003070997318451788
cov_payload_bytes_delta_len,1.4519786111014006e-05,0.00030077814890515066
bwd_avg_segment_size,1.4450221430410666e-05,0.00029933711281129394
fwd_cov_header_bytes,1.4157804223685888e-05,0.0002932796746731401
bwd_psh_flag_percentage_in_total,1.4147931629703348e-05,0.0002930751633586994
bwd_skewness_header_bytes,1.411755886547339e-05,0.00029244598991686133
std_fwd_payload_bytes_delta_len,1.4028046561811261e-05,0.00029059173774028773
fwd_payload_bytes_skewness,1.3891727071937748e-05,0.0002877678721881122
bwd_ece_flag_percentage_in_total,1.3807430399751673e-05,0.0002860216620976096
payload_bytes_mode,1.340962468015028e-05,0.0002777810952565577
bwd_cwr_flag_percentage_in_total,1.3303988638743196e-05,0.0002755928389868603
bwd_payload_bytes_min,1.303311634423961e-05,0.0002699817048621863
bwd_ece_flag_percentage_in_bwd_packets,1.2914242279722806e-05,0.0002675192222329777
mode_bwd_payload_bytes_delta_len,1.2715261002655846e-05,0.0002633973143945706
std_fwd_header_bytes_delta_len,1.2283742765596114e-05,0.0002544583909442322
median_fwd_payload_bytes_delta_len,1.2200388292346798e-05,0.0002527316985552944
bwd_payload_bytes_median,1.1820124237452195e-05,0.0002448545082405138
min_bwd_payload_bytes_delta_len,1.1726837609251679e-05,0.0002429220707284715
bwd_payload_bytes_cov,1.1726825688645283e-05,0.00024292182379246998
fwd_skewness_header_bytes,1.0912368015750957e-05,0.00022605028936752904
bwd_psh_flag_counts,9.591245923346605e-06,0.000198683174287944
bwd_cwr_flag_counts,9.384893834767746e-06,0.0001944085796933046
skewness_fwd_header_bytes_delta_len,9.161318495449389e-06,0.000189777204534823
std_bwd_payload_bytes_delta_len,8.950605553663387e-06,0.00018541227463184893
skewness_bwd_header_bytes_delta_len,8.79983453027315e-06,0.00018228904478692366
mode_fwd_header_bytes_delta_len,8.777816800905884e-06,0.0001818329463408758
bwd_cwr_flag_percentage_in_bwd_packets,8.77410533445076e-06,0.00018175606311397692
fwd_payload_bytes_min,8.67494852103418e-06,0.00017970202439999416
bwd_psh_flag_percentage_in_bwd_packets,8.655759627536728e-06,0.00017930452544087907
max_bwd_payload_bytes_delta_len,8.452992114377868e-06,0.00017510418551853267
fwd_urg_flag_counts,8.223192120627284e-06,0.00017034386630926517
cov_fwd_header_bytes_delta_len,6.915356340879788e-06,0.00014325197790975315
skewness_bwd_payload_bytes_delta_len,6.488151689858703e-06,0.0001344024106258161
cov_bwd_payload_bytes_delta_len,6.435237809665745e-06,0.00013330629675649717
fwd_urg_flag_percentage_in_total,6.09598478592888e-06,0.00012627865215416746
bwd_payload_bytes_skewness,5.782845071140066e-06,0.00011979194614880685
variance_bwd_payload_bytes_delta_len,4.941867543424097e-06,0.00010237105150729658
urg_flag_percentage_in_total,4.739246840642348e-06,9.817375276979479e-05
idle_median,3.799474080705048e-06,7.870630958817579e-05
idle_mean,3.6900699257838944e-06,7.6439996644712e-05
bwd_payload_bytes_mode,3.5036891870909377e-06,7.257910963528709e-05
active_max,3.365279386194984e-06,6.971194317804594e-05
fwd_urg_flag_percentage_in_fwd_packets,3.26646027802307e-06,6.766490004633891e-05
active_mean,3.169550891435858e-06,6.565741689979829e-05
idle_max,2.265208031397741e-06,4.692390599693978e-05
active_min,2.1940387838594134e-06,4.5449631212870267e-05
subflow_bwd_bytes,2.0408154515006734e-06,4.227560165598983e-05
fwd_bulk_per_packet,1.9550625542994232e-06,4.0499225786108336e-05
idle_mode,1.9480468860815242e-06,4.0353895842280055e-05
fwd_bulk_duration,1.929769381934282e-06,3.9975276362490085e-05
active_mode,1.8214280498074086e-06,3.773097985027629e-05
avg_fwd_bytes_per_bulk,1.7787759556926745e-06,3.684743943055711e-05
subflow_fwd_bytes,1.6086741789247983e-06,3.332377199148173e-05
urg_flag_counts,1.4863408609425629e-06,3.078963074099796e-05
idle_min,1.45101622786344e-06,3.0057879070067167e-05
avg_bwd_bulk_rate,1.3303911108141123e-06,2.755912329362755e-05
bwd_bulk_per_packet,1.2174483215810716e-06,2.5219507350391994e-05
max_fwd_header_bytes_delta_len,8.261986551881294e-07,1.7114749503569372e-05
active_median,7.500149113393334e-07,1.5536599159183563e-05
bwd_bulk_total_size,6.420105156109331e-07,1.3299282302555367e-05
fwd_bulk_total_size,5.815516306946163e-07,1.2046873255275721e-05
idle_std,4.2839857256259024e-07,8.874299432774921e-06
bwd_bulk_state_count,3.2258422230813744e-07,6.682349485730355e-06
active_std,0.0,0.0
active_variance,0.0,0.0
bwd_bulk_duration,0.0,0.0
avg_fwd_packets_per_bulk,0.0,0.0
idle_skewness,0.0,0.0
idle_cov,0.0,0.0
active_skewness,0.0,0.0
avg_bwd_packets_bulk_rate,0.0,0.0
avg_bwd_bytes_per_bulk,0.0,0.0
active_cov,0.0,0.0
avg_fwd_bulk_rate,0.0,0.0
idle_variance,0.0,0.0
fwd_bulk_state_count,0.0,0.0
